ID,Parameter_ID,Name,Description,Ordinal
F-yes,F,Yes,,
F-no,F,No,,
S-set01,S,set01,,
S-set02,S,set02,,
S-set03,S,set03,,
S-set04,S,set04,,
S-set05,S,set05,,
S-set06a,S,set06a,,
S-set07,S,set07,,
S-set08,S,set08,,
S-set09,S,set09,,
S-set10,S,set10,,
S-set11,S,set11,,
S-set12,S,set12,,
S-set13,S,set13,,
S-set14,S,set14,,
S-set15,S,set15,,
S-set16,S,set16,,
S-set17,S,set17,,
S-set18,S,set18,,
S-set19,S,set19,,
S-set20,S,set20,,
S-set21,S,set21,,
S-set22,S,set22,,
S-set23,S,set23,,
S-set24,S,set24,,
S-set25,S,set25,,
S-set26,S,set26,,
S-set27,S,set27,,
S-set28,S,set28,,
S-set29,S,set29,,
S-set30,S,set30,,
S-set31,S,set31,,
S-set32,S,set32,,
S-set33,S,set33,,
S-set34,S,set34,,
DEM00-yes,DEM00,Yes,,
DEM00-no,DEM00,No,,
DEM00-B,DEM00,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM02_DEME02-1-yes,DEM02_DEME02-1,Yes,,
DEM02_DEME02-1-no,DEM02_DEME02-1,No,,
DEM02_DEME02-1-B,DEM02_DEME02-1,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM02_DEME02-2-yes,DEM02_DEME02-2,Yes,,
DEM02_DEME02-2-no,DEM02_DEME02-2,No,,
DEM02_DEME02-2-B,DEM02_DEME02-2,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM02_DEME02-3-yes,DEM02_DEME02-3,Yes,,
DEM02_DEME02-3-no,DEM02_DEME02-3,No,,
DEM02_DEME02-3-B,DEM02_DEME02-3,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM03_DEME03-1-yes,DEM03_DEME03-1,Yes,,
DEM03_DEME03-1-no,DEM03_DEME03-1,No,,
DEM03_DEME03-1-B,DEM03_DEME03-1,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM03_DEME03-2-yes,DEM03_DEME03-2,Yes,,
DEM03_DEME03-2-no,DEM03_DEME03-2,No,,
DEM03_DEME03-2-B,DEM03_DEME03-2,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM03_DEME03-3-yes,DEM03_DEME03-3,Yes,,
DEM03_DEME03-3-no,DEM03_DEME03-3,No,,
DEM03_DEME03-3-B,DEM03_DEME03-3,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM03_DEME03-4-yes,DEM03_DEME03-4,Yes,,
DEM03_DEME03-4-no,DEM03_DEME03-4,No,,
DEM03_DEME03-4-B,DEM03_DEME03-4,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM03_DEME03-5-yes,DEM03_DEME03-5,Yes,,
DEM03_DEME03-5-no,DEM03_DEME03-5,No,,
DEM03_DEME03-5-B,DEM03_DEME03-5,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM03_DEME03-6-yes,DEM03_DEME03-6,Yes,,
DEM03_DEME03-6-no,DEM03_DEME03-6,No,,
DEM03_DEME03-6-B,DEM03_DEME03-6,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM03_DEME03-7-yes,DEM03_DEME03-7,Yes,,
DEM03_DEME03-7-no,DEM03_DEME03-7,No,,
DEM03_DEME03-7-B,DEM03_DEME03-7,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM03_DEME03-8-yes,DEM03_DEME03-8,Yes,,
DEM03_DEME03-8-no,DEM03_DEME03-8,No,,
DEM03_DEME03-8-B,DEM03_DEME03-8,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM03_DEME03-9-yes,DEM03_DEME03-9,Yes,,
DEM03_DEME03-9-no,DEM03_DEME03-9,No,,
DEM03_DEME03-9-B,DEM03_DEME03-9,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM04-1,DEM04,At places which belong to the Focus Group,,
DEM04-2,DEM04,At places which belong to the Neighbour Group,,
DEM04-3,DEM04,At places which belong to some other group,,
DEM04-4,DEM04,This is highly contextual,,
DEM04-B,DEM04,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM05-1,DEM05,The Focus Group language,,
DEM05-2,DEM05,The Neighbour Group language,,
DEM05-3,DEM05,Some other language,,
DEM05-4,DEM05,This is highly contextual,,
DEM05-B,DEM05,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM06-1,DEM06,They practically always participate,,1
DEM06-2,DEM06,They participate a lot,,2
DEM06-3,DEM06,They participate somewhat,,3
DEM06-4,DEM06,They participate a little,,4
DEM06-5,DEM06,They practically never participate,,5
DEM06-B,DEM06,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM08-1,DEM08,Very often,,1
DEM08-2,DEM08,Often,,2
DEM08-3,DEM08,Sometimes,,3
DEM08-4,DEM08,Rarely,,4
DEM08-5,DEM08,Very rarely,,5
DEM08-B,DEM08,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM10-1,DEM10,Friendly,,1
DEM10-2,DEM10,Somewhat friendly,,2
DEM10-3,DEM10,Neutral,,3
DEM10-4,DEM10,Somewhat hostile,,4
DEM10-5,DEM10,Hostile,,5
DEM10-B,DEM10,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM11-1,DEM11,Interactions are practically always under 5 people,,1
DEM11-2,DEM11,Interactions are often under 5 people,,2
DEM11-3,DEM11,Interactions are sometimes under 5 people,,3
DEM11-4,DEM11,Interactions are rarely under 5 people,,4
DEM11-5,DEM11,Interactions are practically never under 5 people,,5
DEM11-B,DEM11,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM12-1,DEM12,The Focus Group language,,
DEM12-2,DEM12,The Neighbour Group language,,
DEM12-3,DEM12,Some other language,,
DEM12-4,DEM12,This is highly contextual,,
DEM12-B,DEM12,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM13-1,DEM13,Very well,,
DEM13-2,DEM13,Well,,
DEM13-3,DEM13,Somewhat,,
DEM13-4,DEM13,Poorly,,
DEM13-5,DEM13,Very poorly,,
DEM13-B,DEM13,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM14-1,DEM14,The Focus Group language,,
DEM14-2,DEM14,The Neighbour Group language,,
DEM14-3,DEM14,Some other language,,
DEM14-4,DEM14,This is highly contextual,,
DEM14-B,DEM14,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM15-1,DEM15,Yes,,
DEM15-2,DEM15,No,,
DEM15-3,DEM15,This is highly contextual,,
DEM15-B,DEM15,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM16-1,DEM16,Very fluently,,1
DEM16-2,DEM16,Fluently,,2
DEM16-3,DEM16,Somewhat fluently,,3
DEM16-4,DEM16,A little fluently,,4
DEM16-5,DEM16,Not fluently at all,,5
DEM16-B,DEM16,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM17-1,DEM17,Very positive,,1
DEM17-2,DEM17,Positive,,2
DEM17-3,DEM17,Neutral,,3
DEM17-4,DEM17,Negative,,4
DEM17-5,DEM17,Very negative,,5
DEM17-B,DEM17,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM18-1,DEM18,Focus Group see themselves as very superior to Neighbour Group,,1
DEM18-2,DEM18,Focus Group see themselves as superior to Neighbour Group,,2
DEM18-3,DEM18,Focus Group see themselves as neither superior nor inferior to Neighbour Group,,3
DEM18-4,DEM18,Focus Group see themselves as inferior to Neighbour Group,,4
DEM18-5,DEM18,Focus Group see themselves as very inferior to Neighbour Group,,5
DEM18-B,DEM18,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM19-1,DEM19,Influence is practically always exerted,,1
DEM19-2,DEM19,Influence is very much exerted,,2
DEM19-3,DEM19,Influence is somewhat exerted,,3
DEM19-4,DEM19,Influence is exerted very little,,4
DEM19-5,DEM19,Influence is practically never exerted,,5
DEM19-B,DEM19,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM20-1,DEM20,Constant supervision,,1
DEM20-2,DEM20,A lot of supervision,,2
DEM20-3,DEM20,Some supervision,,3
DEM20-4,DEM20,Little supervision,,4
DEM20-5,DEM20,Almost no structured supervision at all,,5
DEM20-B,DEM20,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM21-1,DEM21,The Focus Group language,,
DEM21-2,DEM21,The Neighbour Group language,,
DEM21-3,DEM21,Some other language,,
DEM21-4,DEM21,This is highly contextual,,
DEM21-B,DEM21,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM22-1,DEM22,The Focus Group language,,
DEM22-2,DEM22,The Neighbour Group language,,
DEM22-3,DEM22,Some other language,,
DEM22-4,DEM22,This is highly contextual,,
DEM22-B,DEM22,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM25-1,DEM25,There are no Neighbour Group children in the domain of exchange,,
DEM25-2,DEM25,The Focus Group language,,
DEM25-3,DEM25,The Neighbour Group language,,
DEM25-4,DEM25,Some other language,,
DEM25-5,DEM25,This is highly contextual,,
DEM25-B,DEM25,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM26_DEME26-1-yes,DEM26_DEME26-1,Yes,,
DEM26_DEME26-1-no,DEM26_DEME26-1,No,,
DEM26_DEME26-1-B,DEM26_DEME26-1,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM26_DEME26-2-yes,DEM26_DEME26-2,Yes,,
DEM26_DEME26-2-no,DEM26_DEME26-2,No,,
DEM26_DEME26-2-B,DEM26_DEME26-2,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM26_DEME26-3-yes,DEM26_DEME26-3,Yes,,
DEM26_DEME26-3-no,DEM26_DEME26-3,No,,
DEM26_DEME26-3-B,DEM26_DEME26-3,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM26_DEME26-4-yes,DEM26_DEME26-4,Yes,,
DEM26_DEME26-4-no,DEM26_DEME26-4,No,,
DEM26_DEME26-4-B,DEM26_DEME26-4,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM26_DEME26-5-yes,DEM26_DEME26-5,Yes,,
DEM26_DEME26-5-no,DEM26_DEME26-5,No,,
DEM26_DEME26-5-B,DEM26_DEME26-5,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM27_DEME27-1-yes,DEM27_DEME27-1,Yes,,
DEM27_DEME27-1-no,DEM27_DEME27-1,No,,
DEM27_DEME27-1-B,DEM27_DEME27-1,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM27_DEME27-2-yes,DEM27_DEME27-2,Yes,,
DEM27_DEME27-2-no,DEM27_DEME27-2,No,,
DEM27_DEME27-2-B,DEM27_DEME27-2,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM27_DEME27-3-yes,DEM27_DEME27-3,Yes,,
DEM27_DEME27-3-no,DEM27_DEME27-3,No,,
DEM27_DEME27-3-B,DEM27_DEME27-3,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM27_DEME27-4-yes,DEM27_DEME27-4,Yes,,
DEM27_DEME27-4-no,DEM27_DEME27-4,No,,
DEM27_DEME27-4-B,DEM27_DEME27-4,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM27_DEME27-5-yes,DEM27_DEME27-5,Yes,,
DEM27_DEME27-5-no,DEM27_DEME27-5,No,,
DEM27_DEME27-5-B,DEM27_DEME27-5,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM28_DEME28-1-yes,DEM28_DEME28-1,Yes,,
DEM28_DEME28-1-no,DEM28_DEME28-1,No,,
DEM28_DEME28-1-B,DEM28_DEME28-1,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM28_DEME28-2-yes,DEM28_DEME28-2,Yes,,
DEM28_DEME28-2-no,DEM28_DEME28-2,No,,
DEM28_DEME28-2-B,DEM28_DEME28-2,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM28_DEME28-3-yes,DEM28_DEME28-3,Yes,,
DEM28_DEME28-3-no,DEM28_DEME28-3,No,,
DEM28_DEME28-3-B,DEM28_DEME28-3,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM29_DEME29-1-yes,DEM29_DEME29-1,Yes,,
DEM29_DEME29-1-no,DEM29_DEME29-1,No,,
DEM29_DEME29-1-B,DEM29_DEME29-1,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM29_DEME29-2-yes,DEM29_DEME29-2,Yes,,
DEM29_DEME29-2-no,DEM29_DEME29-2,No,,
DEM29_DEME29-2-B,DEM29_DEME29-2,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM29_DEME29-3-yes,DEM29_DEME29-3,Yes,,
DEM29_DEME29-3-no,DEM29_DEME29-3,No,,
DEM29_DEME29-3-B,DEM29_DEME29-3,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM29_DEME29-4-yes,DEM29_DEME29-4,Yes,,
DEM29_DEME29-4-no,DEM29_DEME29-4,No,,
DEM29_DEME29-4-B,DEM29_DEME29-4,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM30_DEME30-1-yes,DEM30_DEME30-1,Yes,,
DEM30_DEME30-1-no,DEM30_DEME30-1,No,,
DEM30_DEME30-1-B,DEM30_DEME30-1,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM30_DEME30-2-yes,DEM30_DEME30-2,Yes,,
DEM30_DEME30-2-no,DEM30_DEME30-2,No,,
DEM30_DEME30-2-B,DEM30_DEME30-2,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM30_DEME30-3-yes,DEM30_DEME30-3,Yes,,
DEM30_DEME30-3-no,DEM30_DEME30-3,No,,
DEM30_DEME30-3-B,DEM30_DEME30-3,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM30_DEME30-4-yes,DEM30_DEME30-4,Yes,,
DEM30_DEME30-4-no,DEM30_DEME30-4,No,,
DEM30_DEME30-4-B,DEM30_DEME30-4,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM31_DEME31-1-yes,DEM31_DEME31-1,Yes,,
DEM31_DEME31-1-no,DEM31_DEME31-1,No,,
DEM31_DEME31-1-B,DEM31_DEME31-1,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM31_DEME31-2-yes,DEM31_DEME31-2,Yes,,
DEM31_DEME31-2-no,DEM31_DEME31-2,No,,
DEM31_DEME31-2-B,DEM31_DEME31-2,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM32-1,DEM32,At places which belong to the Focus Group,,
DEM32-2,DEM32,At places which belong to the Neighbour Group,,
DEM32-3,DEM32,At places which belong to some other group,,
DEM32-4,DEM32,This is highly contextual,,
DEM32-B,DEM32,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM33-1,DEM33,The Focus Group language,,
DEM33-2,DEM33,The Neighbour Group language,,
DEM33-3,DEM33,Some other language,,
DEM33-4,DEM33,This is highly contextual,,
DEM33-B,DEM33,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM34-1,DEM34,Friendly,,1
DEM34-2,DEM34,Somewhat friendly,,2
DEM34-3,DEM34,Neutral,,3
DEM34-4,DEM34,Somewhat hostile,,4
DEM34-5,DEM34,Hostile,,5
DEM34-B,DEM34,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM35-1,DEM35,Very positive,,1
DEM35-2,DEM35,Positive,,2
DEM35-3,DEM35,Neutral,,3
DEM35-4,DEM35,Negative,,4
DEM35-5,DEM35,Very negative,,5
DEM35-B,DEM35,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM36-1,DEM36,Focus Group see themselves as very superior to Neighbour Group,,1
DEM36-2,DEM36,Focus Group see themselves as superior to Neighbour Group,,2
DEM36-3,DEM36,Focus Group see themselves as neither superior nor inferior to Neighbour Group,,3
DEM36-4,DEM36,Focus Group see themselves as inferior to Neighbour Group,,4
DEM36-5,DEM36,Focus Group see themselves as very inferior to Neighbour Group,,5
DEM36-B,DEM36,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM37_DEME37-1-yes,DEM37_DEME37-1,Yes,,
DEM37_DEME37-1-no,DEM37_DEME37-1,No,,
DEM37_DEME37-1-B,DEM37_DEME37-1,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM37_DEME37-2-yes,DEM37_DEME37-2,Yes,,
DEM37_DEME37-2-no,DEM37_DEME37-2,No,,
DEM37_DEME37-2-B,DEM37_DEME37-2,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM37_DEME37-3-yes,DEM37_DEME37-3,Yes,,
DEM37_DEME37-3-no,DEM37_DEME37-3,No,,
DEM37_DEME37-3-B,DEM37_DEME37-3,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM38-yes,DEM38,Yes,,
DEM38-no,DEM38,No,,
DEM38-B,DEM38,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM39_DEME39-1-yes,DEM39_DEME39-1,Yes,,
DEM39_DEME39-1-no,DEM39_DEME39-1,No,,
DEM39_DEME39-1-B,DEM39_DEME39-1,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM39_DEME39-2-yes,DEM39_DEME39-2,Yes,,
DEM39_DEME39-2-no,DEM39_DEME39-2,No,,
DEM39_DEME39-2-B,DEM39_DEME39-2,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM39_DEME39-3-yes,DEM39_DEME39-3,Yes,,
DEM39_DEME39-3-no,DEM39_DEME39-3,No,,
DEM39_DEME39-3-B,DEM39_DEME39-3,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM39_DEME39-4-yes,DEM39_DEME39-4,Yes,,
DEM39_DEME39-4-no,DEM39_DEME39-4,No,,
DEM39_DEME39-4-B,DEM39_DEME39-4,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM40-1,DEM40,Almost everyone,,1
DEM40-2,DEM40,Many people,,2
DEM40-3,DEM40,Some people,,3
DEM40-4,DEM40,Few people,,4
DEM40-5,DEM40,Practically no one,,5
DEM40-B,DEM40,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM41-yes,DEM41,Yes,,
DEM41-no,DEM41,No,,
DEM41-B,DEM41,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM42-1,DEM42,Almost everyone,,1
DEM42-2,DEM42,Many people,,2
DEM42-3,DEM42,Some people,,3
DEM42-4,DEM42,Few people,,4
DEM42-5,DEM42,Practically no one,,5
DEM42-B,DEM42,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM43-1,DEM43,Almost everyone,,1
DEM43-2,DEM43,Many people,,2
DEM43-3,DEM43,Some people,,3
DEM43-4,DEM43,Few people,,4
DEM43-5,DEM43,Practically no one,,5
DEM43-B,DEM43,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM44-1,DEM44,Almost everyone,,1
DEM44-2,DEM44,Many people,,2
DEM44-3,DEM44,Some people,,3
DEM44-4,DEM44,Few people,,4
DEM44-5,DEM44,Practically no one,,5
DEM44-B,DEM44,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM45-1,DEM45,Always,,1
DEM45-2,DEM45,Sometimes,,2
DEM45-3,DEM45,As much as unmonitored speech,,3
DEM45-4,DEM45,Rarely,,4
DEM45-5,DEM45,Never,,5
DEM45-B,DEM45,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM97-1,DEM97,Impressions from my own fieldwork with the exact or related community,,
DEM97-2,DEM97,Reports from language consultants,,
DEM97-3,DEM97,Published or ongoing research project of my own on topics covered in this questionnaire,,
DEM97-4,DEM97,Published material by linguists,,
DEM97-5,DEM97,Published materials by other researchers in other fields,,
DEM97-6,DEM97,Other,,
DEM97-B,DEM97,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM98-1,DEM98,Very certain,,1
DEM98-2,DEM98,Certain,,2
DEM98-3,DEM98,Somewhat certain,,3
DEM98-4,DEM98,Uncertain,,4
DEM98-5,DEM98,Very uncertain,,5
DEM98-B,DEM98,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK00-yes,DFK00,Yes,,
DFK00-no,DFK00,No,,
DFK00-B,DFK00,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK02_DFK02-1-yes,DFK02_DFK02-1,Yes,,
DFK02_DFK02-1-no,DFK02_DFK02-1,No,,
DFK02_DFK02-1-B,DFK02_DFK02-1,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK02_DFK02-2-yes,DFK02_DFK02-2,Yes,,
DFK02_DFK02-2-no,DFK02_DFK02-2,No,,
DFK02_DFK02-2-B,DFK02_DFK02-2,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK02_DFK02-3-yes,DFK02_DFK02-3,Yes,,
DFK02_DFK02-3-no,DFK02_DFK02-3,No,,
DFK02_DFK02-3-B,DFK02_DFK02-3,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK03-1,DFK03,Practically all their lives,,1
DFK03-2,DFK03,Much of their lives,,2
DFK03-3,DFK03,Some of their lives,,3
DFK03-4,DFK03,A little of their lives,,4
DFK03-5,DFK03,Practically none of their lives,,5
DFK03-B,DFK03,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK04_DFK04-1-yes,DFK04_DFK04-1,Yes,,
DFK04_DFK04-1-no,DFK04_DFK04-1,No,,
DFK04_DFK04-1-B,DFK04_DFK04-1,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK04_DFK04-2-yes,DFK04_DFK04-2,Yes,,
DFK04_DFK04-2-no,DFK04_DFK04-2,No,,
DFK04_DFK04-2-B,DFK04_DFK04-2,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK04_DFK04-3-yes,DFK04_DFK04-3,Yes,,
DFK04_DFK04-3-no,DFK04_DFK04-3,No,,
DFK04_DFK04-3-B,DFK04_DFK04-3,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK04_DFK04-4-yes,DFK04_DFK04-4,Yes,,
DFK04_DFK04-4-no,DFK04_DFK04-4,No,,
DFK04_DFK04-4-B,DFK04_DFK04-4,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK04_DFK04-5-yes,DFK04_DFK04-5,Yes,,
DFK04_DFK04-5-no,DFK04_DFK04-5,No,,
