ID,Parameter_ID,Name,Description,Ordinal
DFK04_DFK04-5-B,DFK04_DFK04-5,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK05-1,DFK05,The Focus Group language,,
DFK05-2,DFK05,The Neighbour Group language,,
DFK05-3,DFK05,Some other language,,
DFK05-4,DFK05,This is highly contextual,,
DFK05-B,DFK05,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK06-1,DFK06,The Focus Group language,,
DFK06-2,DFK06,The Neighbour Group language,,
DFK06-3,DFK06,Some other language,,
DFK06-4,DFK06,This is highly contextual,,
DFK06-B,DFK06,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK07-1,DFK07,Yes,,
DFK07-2,DFK07,No,,
DFK07-3,DFK07,This is highly contextual,,
DFK07-B,DFK07,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK08-1,DFK08,Very fluently,,1
DFK08-2,DFK08,Fluently,,2
DFK08-3,DFK08,Somewhat fluently,,3
DFK08-4,DFK08,A little fluently,,4
DFK08-5,DFK08,Not fluently at all,,5
DFK08-B,DFK08,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK09-1,DFK09,The Focus Group language,,
DFK09-2,DFK09,The Neighbour Group language,,
DFK09-3,DFK09,Some other language,,
DFK09-4,DFK09,This is highly contextual,,
DFK09-B,DFK09,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK10-1,DFK10,Very well,,1
DFK10-2,DFK10,Well,,2
DFK10-3,DFK10,Somewhat,,3
DFK10-4,DFK10,Poorly,,4
DFK10-5,DFK10,Very poorly,,5
DFK10-B,DFK10,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK11-1,DFK11,Very proximate to each other,,1
DFK11-2,DFK11,Proximate to each other,,2
DFK11-3,DFK11,Somewhat proximate to each other,,3
DFK11-4,DFK11,Far from each other,,4
DFK11-5,DFK11,Very far from each other,,5
DFK11-B,DFK11,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK12-1,DFK12,Very often,,1
DFK12-2,DFK12,Often,,2
DFK12-3,DFK12,Sometimes,,3
DFK12-4,DFK12,Rarely,,4
DFK12-5,DFK12,Very rarely,,5
DFK12-B,DFK12,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK14-1,DFK14,Friendly,,1
DFK14-2,DFK14,Somewhat friendly,,2
DFK14-3,DFK14,Neutral,,3
DFK14-4,DFK14,Somewhat hostile,,4
DFK14-5,DFK14,Hostile,,5
DFK14-B,DFK14,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK15-1,DFK15,Interactions are practically always under 5 people,,1
DFK15-2,DFK15,Interactions are often under 5 people,,2
DFK15-3,DFK15,Interactions are sometimes under 5 people,,3
DFK15-4,DFK15,Interactions are rarely under 5 people,,4
DFK15-5,DFK15,Interactions are practically never under 5 people,,5
DFK15-B,DFK15,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK16-1,DFK16,Very affectionate,,1
DFK16-2,DFK16,Affectionate,,2
DFK16-3,DFK16,Neutral,,3
DFK16-4,DFK16,Unaffectionate,,4
DFK16-5,DFK16,Very unaffectionate,,5
DFK16-B,DFK16,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK20-1,DFK20,The Focus Group language,,
DFK20-2,DFK20,The Neighbour Group language,,
DFK20-3,DFK20,Some other language,,
DFK20-4,DFK20,This is highly contextual,,
DFK20-B,DFK20,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK21-1,DFK21,The Focus Group language,,
DFK21-2,DFK21,The Neighbour Group language,,
DFK21-3,DFK21,Some other language,,
DFK21-4,DFK21,This is highly contextual,,
DFK21-B,DFK21,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK22-1,DFK22,The Focus Group language,,
DFK22-2,DFK22,The Neighbour Group language,,
DFK22-3,DFK22,Some other language,,
DFK22-4,DFK22,This is highly contextual,,
DFK22-B,DFK22,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK23-1,DFK23,The Focus Group language,,
DFK23-2,DFK23,The Neighbour Group language,,
DFK23-3,DFK23,Some other language,,
DFK23-4,DFK23,This is highly contextual,,
DFK23-B,DFK23,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK24-1,DFK24,Constant supervision,,1
DFK24-2,DFK24,A lot of supervision,,2
DFK24-3,DFK24,Some supervision,,3
DFK24-4,DFK24,Little supervision,,4
DFK24-5,DFK24,Almost no structured supervision at all,,5
DFK24-B,DFK24,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK25-1,DFK25,The Focus Group language,,
DFK25-2,DFK25,The Neighbour Group language,,
DFK25-3,DFK25,Some other language,,
DFK25-4,DFK25,This is highly contextual,,
DFK25-B,DFK25,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK26-1,DFK26,The Focus Group language,,
DFK26-2,DFK26,The Neighbour Group language,,
DFK26-3,DFK26,Some other language,,
DFK26-4,DFK26,This is highly contextual,,
DFK26-B,DFK26,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK28-1,DFK28,The Focus Group language,,
DFK28-2,DFK28,The Neighbour Group language,,
DFK28-3,DFK28,Some other language,,
DFK28-4,DFK28,This is highly contextual,,
DFK28-B,DFK28,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK30-1,DFK30,The Focus Group language,,
DFK30-2,DFK30,The Neighbour Group language,,
DFK30-3,DFK30,Some other language,,
DFK30-4,DFK30,This is highly contextual,,
DFK30-B,DFK30,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK31-1,DFK31,Yes,,
DFK31-2,DFK31,No,,
DFK31-3,DFK31,This is highly contextual,,
DFK31-B,DFK31,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK32-1,DFK32,Very fluently,,1
DFK32-2,DFK32,Fluently,,2
DFK32-3,DFK32,Somewhat fluently,,3
DFK32-4,DFK32,A little fluently,,4
DFK32-5,DFK32,Not fluently at all,,5
DFK32-B,DFK32,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK33-1,DFK33,Very positive,,1
DFK33-2,DFK33,Positive,,2
DFK33-3,DFK33,Neutral,,3
DFK33-4,DFK33,Negative,,4
DFK33-5,DFK33,Very negative,,5
DFK33-B,DFK33,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK34-1,DFK34,The Focus Group language,,
DFK34-2,DFK34,The Neighbour Group language,,
DFK34-3,DFK34,Some other language,,
DFK34-4,DFK34,This is highly contextual,,
DFK34-B,DFK34,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK35-1,DFK35,Focus Group women practically always relocate to Neighbour Group locations,,1
DFK35-2,DFK35,Focus Group women often relocate to Neighbour Group locations,,2
DFK35-3,DFK35,Focus Group women sometimes relocate to Neighbour Group locations,,3
DFK35-4,DFK35,Focus Group women rarely relocate to Neighbour Group locations,,4
DFK35-5,DFK35,Focus Group women practically never relocate to Neighbour Group locations,,5
DFK35-B,DFK35,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK37-1,DFK37,Very proximate to each other,,1
DFK37-2,DFK37,Proximate to each other,,2
DFK37-3,DFK37,Somewhat proximate to each other,,3
DFK37-4,DFK37,Far from each other,,4
DFK37-5,DFK37,Very far from each other,,5
DFK37-B,DFK37,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK38_DFK38-1-yes,DFK38_DFK38-1,Yes,,
DFK38_DFK38-1-no,DFK38_DFK38-1,No,,
DFK38_DFK38-1-B,DFK38_DFK38-1,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK38_DFK38-2-yes,DFK38_DFK38-2,Yes,,
DFK38_DFK38-2-no,DFK38_DFK38-2,No,,
DFK38_DFK38-2-B,DFK38_DFK38-2,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK38_DFK38-3-yes,DFK38_DFK38-3,Yes,,
DFK38_DFK38-3-no,DFK38_DFK38-3,No,,
DFK38_DFK38-3-B,DFK38_DFK38-3,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK39-1,DFK39,Neighbour Group women practically always relocate to Focus Group locations,,1
DFK39-2,DFK39,Neighbour Group women often relocate to Focus Group locations,,2
DFK39-3,DFK39,Neighbour Group women sometimes relocate to Focus Group locations,,3
DFK39-4,DFK39,Neighbour Group women rarely relocate to Focus Group locations,,4
DFK39-5,DFK39,Neighbour Group women practically never relocate to Focus Group locations,,5
DFK39-B,DFK39,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK40-yes,DFK40,Yes,,
DFK40-no,DFK40,No,,
DFK40-B,DFK40,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK96-1,DFK96,Other Focus Group people,,
DFK96-2,DFK96,People from other groups,,
DFK96-B,DFK96,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK97-1,DFK97,Impressions from my own fieldwork with the exact or related community,,
DFK97-2,DFK97,Reports from language consultants,,
DFK97-3,DFK97,Published or ongoing research project of my own on topics covered in this questionnaire,,
DFK97-4,DFK97,Published material by linguists,,
DFK97-5,DFK97,Published materials by other researchers in other fields,,
DFK97-6,DFK97,Other,,
DFK97-B,DFK97,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFK98-1,DFK98,Very certain,,1
DFK98-2,DFK98,Certain,,2
DFK98-3,DFK98,Somewhat certain,,3
DFK98-4,DFK98,Uncertain,,4
DFK98-5,DFK98,Very uncertain,,5
DFK98-B,DFK98,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DFKXX-1,DFKXX,Very well,,1
DFKXX-2,DFKXX,Well,,2
DFKXX-3,DFKXX,Somewhat,,3
DFKXX-4,DFKXX,Poorly,,4
DFKXX-5,DFKXX,Very poorly,,5
DFKXX-B,DFKXX,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN00-yes,DKN00,Yes,,
DKN00-no,DKN00,No,,
DKN00-B,DKN00,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN02-1,DKN02,Global,,
DKN02-2,DKN02,Local,,
DKN02-B,DKN02,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN03_DKN03-1-yes,DKN03_DKN03-1,Yes,,
DKN03_DKN03-1-no,DKN03_DKN03-1,No,,
DKN03_DKN03-1-B,DKN03_DKN03-1,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN03_DKN03-2-yes,DKN03_DKN03-2,Yes,,
DKN03_DKN03-2-no,DKN03_DKN03-2,No,,
DKN03_DKN03-2-B,DKN03_DKN03-2,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN03_DKN03-3-yes,DKN03_DKN03-3,Yes,,
DKN03_DKN03-3-no,DKN03_DKN03-3,No,,
DKN03_DKN03-3-B,DKN03_DKN03-3,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN03_DKN03-4-yes,DKN03_DKN03-4,Yes,,
DKN03_DKN03-4-no,DKN03_DKN03-4,No,,
DKN03_DKN03-4-B,DKN03_DKN03-4,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN03_DKN03-5-yes,DKN03_DKN03-5,Yes,,
DKN03_DKN03-5-no,DKN03_DKN03-5,No,,
DKN03_DKN03-5-B,DKN03_DKN03-5,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN03_DKN03-6-yes,DKN03_DKN03-6,Yes,,
DKN03_DKN03-6-no,DKN03_DKN03-6,No,,
DKN03_DKN03-6-B,DKN03_DKN03-6,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN03_DKN03-7-yes,DKN03_DKN03-7,Yes,,
DKN03_DKN03-7-no,DKN03_DKN03-7,No,,
DKN03_DKN03-7-B,DKN03_DKN03-7,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN03_DKN03-8-yes,DKN03_DKN03-8,Yes,,
DKN03_DKN03-8-no,DKN03_DKN03-8,No,,
DKN03_DKN03-8-B,DKN03_DKN03-8,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN03_DKN03-9-yes,DKN03_DKN03-9,Yes,,
DKN03_DKN03-9-no,DKN03_DKN03-9,No,,
DKN03_DKN03-9-B,DKN03_DKN03-9,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN04-1,DKN04,"Focus Group people are masters, Neighbour Group are novices",,
DKN04-2,DKN04,"Neighbour Group people are masters, Focus Group are novices",,
DKN04-3,DKN04,None of the above,,
DKN04-B,DKN04,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN05-1,DKN05,At places which belong to the Focus Group,,
DKN05-2,DKN05,At places which belong to the Neighbour Group,,
DKN05-3,DKN05,At places which belong to some other group,,
DKN05-4,DKN05,This is highly contextual,,
DKN05-B,DKN05,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN06-yes,DKN06,Yes,,
DKN06-no,DKN06,No,,
DKN06-B,DKN06,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN07-yes,DKN07,Yes,,
DKN07-no,DKN07,No,,
DKN07-B,DKN07,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN08-1,DKN08,Very often,,1
DKN08-2,DKN08,Often,,2
DKN08-3,DKN08,Sometimes,,3
DKN08-4,DKN08,Rarely,,4
DKN08-5,DKN08,Very rarely,,5
DKN08-B,DKN08,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN10-1,DKN10,Interactions are practically always under 5 people,,1
DKN10-2,DKN10,Interactions are  often under 5 people,,2
DKN10-3,DKN10,Interactions are sometimes under 5 people,,3
DKN10-4,DKN10,Interactions are rarely under 5 people,,4
DKN10-5,DKN10,Interactions are practically never under 5 people,,5
DKN10-B,DKN10,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN11-1,DKN11,Very proximate to each other,,1
DKN11-2,DKN11,Proximate to each other,,2
DKN11-3,DKN11,Somewhat proximate to each other,,3
DKN11-4,DKN11,Far from each other,,4
DKN11-5,DKN11,Very far from each other,,5
DKN11-B,DKN11,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN12-1,DKN12,Friendly,,1
DKN12-2,DKN12,Somewhat friendly,,2
DKN12-3,DKN12,Neutral,,3
DKN12-4,DKN12,Somewhat hostile,,4
DKN12-5,DKN12,Hostile,,5
DKN12-B,DKN12,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN13-1,DKN13,Very positive,,1
DKN13-2,DKN13,Positive,,2
DKN13-3,DKN13,Neutral,,3
DKN13-4,DKN13,Negative,,4
DKN13-5,DKN13,Very negative,,5
DKN13-B,DKN13,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN14-1,DKN14,Focus Group see themselves as very superior to Neighbour Group,,1
DKN14-2,DKN14,Focus Group see themselves as superior to Neighbour Group,,2
DKN14-3,DKN14,Focus Group see themselves as neither superior nor inferior to Neighbour Group,,3
DKN14-4,DKN14,Focus Group see themselves as inferior to Neighbour Group,,4
DKN14-5,DKN14,Focus Group see themselves as very inferior to Neighbour Group,,5
DKN14-B,DKN14,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN16-1,DKN16,The Focus Group language,,
DKN16-2,DKN16,The Neighbour Group language,,
DKN16-3,DKN16,Some other language,,
DKN16-4,DKN16,This is highly contextual,,
DKN16-B,DKN16,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN17-1,DKN17,The Focus Group language,,
DKN17-2,DKN17,The Neighbour Group language,,
DKN17-3,DKN17,Some other language,,
DKN17-4,DKN17,This is highly contextual,,
DKN17-B,DKN17,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN18-1,DKN18,Yes,,
DKN18-2,DKN18,No,,
DKN18-3,DKN18,This is highly contextual,,
DKN18-B,DKN18,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN19-1,DKN19,Very fluently,,1
DKN19-2,DKN19,Fluently,,2
DKN19-3,DKN19,Somewhat fluently,,3
DKN19-4,DKN19,A little fluently,,4
DKN19-5,DKN19,Not fluently at all,,5
DKN19-B,DKN19,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN20-1,DKN20,The Focus Group language,,
DKN20-2,DKN20,The Neighbour Group language,,
DKN20-3,DKN20,Some other language,,
DKN20-4,DKN20,This is highly contextual,,
DKN20-B,DKN20,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN21-1,DKN21,Very well,,1
DKN21-2,DKN21,Well,,2
DKN21-3,DKN21,Somewhat,,3
DKN21-4,DKN21,Poorly,,4
DKN21-5,DKN21,Very poorly,,5
DKN21-B,DKN21,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN22-1,DKN22,They practically always participate,,1
DKN22-2,DKN22,They participate a lot,,2
DKN22-3,DKN22,They participate somewhat,,3
DKN22-4,DKN22,They participate a little,,4
DKN22-5,DKN22,They practically never participate,,5
DKN22-B,DKN22,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN23_DKN23-1-yes,DKN23_DKN23-1,Yes,,
DKN23_DKN23-1-no,DKN23_DKN23-1,No,,
DKN23_DKN23-1-B,DKN23_DKN23-1,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN23_DKN23-2-yes,DKN23_DKN23-2,Yes,,
DKN23_DKN23-2-no,DKN23_DKN23-2,No,,
DKN23_DKN23-2-B,DKN23_DKN23-2,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN23_DKN23-3-yes,DKN23_DKN23-3,Yes,,
DKN23_DKN23-3-no,DKN23_DKN23-3,No,,
DKN23_DKN23-3-B,DKN23_DKN23-3,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN23_DKN23-4-yes,DKN23_DKN23-4,Yes,,
DKN23_DKN23-4-no,DKN23_DKN23-4,No,,
DKN23_DKN23-4-B,DKN23_DKN23-4,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN24-1,DKN24,The Focus Group language,,
DKN24-2,DKN24,The Neighbour Group language,,
DKN24-3,DKN24,Some other language,,
DKN24-4,DKN24,This is highly contextual,,
DKN24-B,DKN24,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN25-1,DKN25,The Focus Group language,,
DKN25-2,DKN25,The Neighbour Group language,,
DKN25-3,DKN25,Some other language,,
DKN25-4,DKN25,This is highly contextual,,
DKN25-B,DKN25,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN26-1,DKN26,Focus Group children do not interact with Neighbour Group children,,
DKN26-2,DKN26,The Focus Group language,,
DKN26-3,DKN26,The Neighbour Group language,,
DKN26-4,DKN26,Some other language,,
DKN26-5,DKN26,This is highly contextual,,
DKN26-B,DKN26,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN27-1,DKN27,Constant structured supervision,,1
DKN27-2,DKN27,A lot of structured supervision,,2
DKN27-3,DKN27,Some structured supervision,,3
DKN27-4,DKN27,Little structured supervision,,4
DKN27-5,DKN27,Almost no structured supervision at all,,5
DKN27-B,DKN27,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN28-1,DKN28,Influence is practically always exerted,,1
DKN28-2,DKN28,Influence is very much exerted,,2
DKN28-3,DKN28,Influence is somewhat exerted,,3
DKN28-4,DKN28,Influence is exerted very little,,4
DKN28-5,DKN28,Influence is practically never exerted,,5
DKN28-B,DKN28,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN29-1,DKN29,Almost everyone,,1
DKN29-2,DKN29,Many people,,2
DKN29-3,DKN29,Some people,,3
DKN29-4,DKN29,Few people,,4
DKN29-5,DKN29,Practically no one,,5
DKN29-B,DKN29,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN30-1,DKN30,Almost everyone,,1
DKN30-2,DKN30,Many people,,2
DKN30-3,DKN30,Some people,,3
DKN30-4,DKN30,Few people,,4
DKN30-5,DKN30,Practically no one,,5
DKN30-B,DKN30,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN31-1,DKN31,Always,,1
DKN31-2,DKN31,Sometimes,,2
DKN31-3,DKN31,As much as unmonitored speech,,3
DKN31-4,DKN31,Rarely,,4
DKN31-5,DKN31,Never,,5
DKN31-B,DKN31,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN97-1,DKN97,Impressions from my own fieldwork with the exact or related community,,
DKN97-2,DKN97,Reports from language consultants,,
DKN97-3,DKN97,Published or ongoing research project of my own on topics covered in this questionnaire,,
DKN97-4,DKN97,Published material by linguists,,
DKN97-5,DKN97,Published materials by other researchers in other fields,,
DKN97-6,DKN97,Other,,
DKN97-B,DKN97,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DKN98-1,DKN98,Very certain,,1
DKN98-2,DKN98,Certain,,2
DKN98-3,DKN98,Somewhat certain,,3
DKN98-4,DKN98,Uncertain,,4
DKN98-5,DKN98,Very uncertain,,5
DKN98-B,DKN98,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DLB00-yes,DLB00,Yes,,
DLB00-no,DLB00,No,,
