Dom,CID,QID,Wording,Socio-Political Power,Use Equivalence,Language Loyalty,Attitudes and Ideologies
DKN,S5,DKN12,16. How would you rate the overall relationship between [q2o1answer] and [q2o2answer] people in the knowledge domain? QID: DKN12,,,, yes
DEM,S5,DEM10,15. How would you rate the overall relationship between [q2o1answer] and [q2o2answer] people in the domain of exchange? QID: DEM10:,,,,yes
DEM,S5,DEM34,39. How would you rate the overall relationship between [q2o1answer] and [q2o2answer] people in practices of marriage exchanges? QID: DEM34:,,,,yes
DFK,S5,DFK14,30. How would you rate the overall relationship between a [q2o1answer] person and their [q2o2answer] in-laws? QID: DFK14:,,,,yes
DLB,S5,DLB11,16. How would you rate the overall relationship between [q2o1answer] and [q2o2answer] people involved in work? QID: DLB11,,,,yes
DLC,S5,DLC14,13. How would you rate the overall relationship between [q2o1answer] and [q2o2answer] people in the local community? QID: DLC14,,,,yes
DTR,S5,DTR23,16. How would you rate the overall relationship between [q2o1answer] and [q2o2answer] people in trade? QID: DTR23,,,,yes
DEM,BA,DEM17,18. What is the overall attitude that [q2o1answer] people have towards [q2o2answer] people in the context of exchange? QID: DEM17:,,,,yes
DEM,BA,DEM35,42. What is the overall attitude that [q2o1answer] people have towards [q2o2answer] people in practices of marriage exchanges? QID: DEM35:,,,,yes
DFK,BA,DFK33,31. What is the overall attitude that a [q2o1answer] person has towards their [q2o2answer] in-laws? QID: DFK33:,,,,yes
DLB,BA,DLB22,19. What is the overall attitude that [q2o1answer] people have towards [q2o2answer] people in work? QID: DLB22,,,,yes
DLC,BA,DLC18,16. What is the overall attitude that [q2o1answer] people have towards [q2o2answer] people in the local community? QID: DLC18,,,,yes
DKN,BA,DKN13,19. What is the overall attitude that [q2o1answer] people have towards [q2o2answer] people in the knowledge domain? QID: DKN13,,,,yes
DTR,BA,DTR16,19. What is the overall attitude that [q2o1answer] people have towards [q2o2answer] people in trade? QID: DTR16,,,,yes
DFK,BA,DFK16,11. What is the overall level of affection that the [q2o1answer] person has towards their [q2o2answer] spouse? QID: DFK16:,,,,yes
DEM,BH,DEM18,19. How do [q2o1answer] people view themselves overall in relation to [q2o2answer] people in the context of exchange? QID: DEM18:,,,,yes
DEM,BH,DEM36,"43. How do [q2o1answer] people view themselves overall in relation to [q2o2answer] people, within the context of marriage QID: DEM36:",,,,yes
DLB,BH,DLB23,"20. How do [q2o1answer] people view themselves overall in relation to [q2o2answer] people, within the context of work? QID: DLB23",,,,yes
DLC,BH,DLC19,"17. How do [q2o1answer] people view themselves overall in relation to [q2o2answer] people, in the context of the local community? QID: DLC19",,,,yes
DKN,BH,DKN14,"20. How do [q2o1answer] people view themselves overall in relation to [q2o2answer] people, in the context of the knowledge domain? QID: DKN14",,,,yes
DTR,BH,DTR29,"20. How do [q2o1answer] people view themselves overall in relation to [q2o2answer] people, within the context of trade? QID: DTR29",,,,yes
OV,OI6,OI6,"10. What are the [q2o1answer] speakers' attitudes towards linguistic transfers from [q2o2answer], such as lexical or grammatical borrowing? QID: OI6:",,yes,,yes
OV,OI7,OI7,"11. What are the [q2o1answer] speakers' general attitudes towards linguistic transfer, such as lexical or grammatical borrowing, from any other language than [q2o2answer]? QID: OI7:",,yes,,yes
OV,OI9,OI9,12. What are the [q2o1answer] speakers' attitudes towards lectal differences within [q2o1answer]? QID: OI9:,,,,yes
DEM,BI,DEM05,20. What language do [q2o1answer] people expect to be used when interacting with [q2o2answer] people through practices of exchange? QID:DEM05:,,yes,yes,
DEM,BI,DEM33,44. What language do [q2o1answer] people expect to be used in marriage ceremonies with [q2o2answer] people? QID: DEM33:,,yes,yes,
DFK,BI,DFK05,19. What language are children expected to speak to their [q2o2answer] parent? QID: DFK05:,,yes,yes,
DLB,BI,DLB25,21. What language do [q2o1answer] people expect to be used when working with [q2o2answer] people? QID: DLB25,,yes,yes,
DLC,BI,DLC04,18. What language do [q2o1answer] people expect to be used with [q2o2answer] people in the local community? QID: DLC04,,yes,yes,
DKN,BI,DKN16,21. What language do [q2o1answer] people expect to be used with [q2o2answer] people in the knowledge domain? QID: DKN16,,yes,yes,
DTR,BI,DTR08,21. What language do [q2o1answer] people expect to be used when trading with [q2o2answer] people? QID: DTR08,,yes,yes,
DEM,D1,DEM02,6. Characteristic of the domain of Exchange QID: DEM02:Is Exchange between [q2o1answer] and [q2o2answer] the individual’s initiative?6. Characteristic of the domain of Exchange QID: DEM02:Is Exchange between [q2o1answer] and [q2o2answer] an institutionalised procedure?6. Characteristic of the domain of Exchange QID: DEM02:Is Exchange between [q2o1answer] and [q2o2answer] part of a ceremonial event to which both communities participate?,,,,
DEM,D1,DEM26,"32. Marrying out: When marrying each other, should [q2o1answer] people and [q2o2answer] people marry somebody: QID:DEM26:Outside their village or other kind of local community?32. Marrying out: When marrying each other, should [q2o1answer] people and [q2o2answer] people marry somebody: QID:DEM26:Outside their descent group or clan?32. Marrying out: When marrying each other, should [q2o1answer] people and [q2o2answer] people marry somebody: QID:DEM26:Outside their designated marriage group such as a moiety?32. Marrying out: When marrying each other, should [q2o1answer] people and [q2o2answer] people marry somebody: QID:DEM26:Outside their hierarchical social group such as class or caste?32. Marrying out: When marrying each other, should [q2o1answer] people and [q2o2answer] people marry somebody: QID:DEM26:Outside their linguistic group?",,,,
DEM,D1,DEM27,"33. Marrying within: When marrying each other, should [q2o1answer] people and [q2o2answer] people marry somebody from: QID: DEM27:The same village or other kind of local community?33. Marrying within: When marrying each other, should [q2o1answer] people and [q2o2answer] people marry somebody from: QID: DEM27:The same descent group or clan?33. Marrying within: When marrying each other, should [q2o1answer] people and [q2o2answer] people marry somebody from: QID: DEM27:The same designated marriage group such as a moiety?33. Marrying within: When marrying each other, should [q2o1answer] people and [q2o2answer] people marry somebody from: QID: DEM27:The same hierarchical social group such as class or caste?33. Marrying within: When marrying each other, should [q2o1answer] people and [q2o2answer] people marry somebody from: QID: DEM27:The same linguistic group?",,,,
DEM,D1,DEM28,34. Polygyny. QID: DEM28:Is polygyny possible for [q2o1answer] men?,,,,
DEM,D1,DEM29,35. Polyandry. QID: DEM29:Is polyandry possible for [q2o1answer] women?,,,,
DEM,D1,DEM37,36. What type of marriage payments and transfers are expected when [q2o1answer] and [q2o2answer] marry? QID:DEM37::Bride wealth,,,,
DFK,D1,DFK02,7. Do mothers form a co-residential unit with their children and: QID:DFK02:Their husbands?,,,,
DLB,D1,DLB02,5. How commonly are [q2o1answer] people and [q2o2answer] people involved in public modes of production? QID: DLB02,,,,
DLC,D1,DLC02,5. Choose one of the following where [q2o1answer] people are most likely to speak in an unmonitored way. QID: DLC02,,,,
DKN,D1,DKN02,5. The most influential form of knowledge in this contact scenario is: QID: DKN02,,,,
DTR,D1,DTR02,5. Traded good types. QID: DTR02. Do [q2o1answer] people trade raw materials and primary produce to [q2o2answer] people? Do [q2o1answer] people trade luxury items to [q2o2answer] people? Do [q2o1answer] people trade manufactured goods to [q2o2answer] people? Do [q2o2answer] people trade raw material and primary produce to [q2o1answer] people? Do [q2o2answer] people trade luxury items to [q2o1answer] people? Do [q2o2answer] people trade manufactured goods to [q2o1answer] people?,,,,
DLB,D10,DLB30,12. Do [q2o1answer] people experience work differently depending on social group? QID:DKN07,,,,
DLC,D10,DLC29,9. Do [q2o1answer] people experience the local community differently depending on social group? QID:DLC29,,,,
DKN,D10,DKN07,12. Do [q2o1answer] people experience the knowledge domain differently depending on social group? QID:DKN07,,,,
DTR,D10,DTR32,12. Do [q2o1answer] people experience trade differently depending on social group? QID:DTR32,,,,
DEM,D10,DEM41,12. Do [q2o1answer] people experience exchange differently depending on social group? QID: DEM41,,,,
DFK,D10,DFK40,8. Do [q2o1answer] people experience family life differently depending on social group? QID: DFK40,,,,
DEM,D11,DEM19,8. How much influence can the [q2o1answer] exert over exchange? QID: DEM19:,Yes,,,
DLB,D11,DLB29,8. How much influence can the [q2o1answer] exert over the terms of work? QID: DLB29,Yes,,,
DLC,D11,DLC27,7. How much influence can the [q2o1answer] exert over [q2o2answer] in the activities of the local community? QID: DLC27,Yes,,,
DKN,D11,DKN28,8. How much influence can the [q2o1answer] people exert over the decision of what constitutes legitimate knowledge in this domain? QID: DKN28,Yes,,,
DTR,D11,DTR17,8. How much influence can the [q2o1answer] exert over the [q2o2answer] in terms of trade? QID: DTR17,Yes,,,
DEM,D12,DEM45,"10. How often are these speech styles typically used during practices of exchange, in comparison with unmonitored speech? QID: DEM38:",,,,
DLB,D12,DLB31,"10. How often are these speech styles typically used during work, in comparison with unmonitored speech? QID: DLB06",,,,
DKN,D12,DKN31,"10. How often are these speech styles typically used in knowledge transmission, in comparison with unmonitored speech? QID: DKN06",,,,
DTR,D12,DTR35,"10. How often are these speech styles typically used in trade, in comparison with unmonitored speech? QID: DTR28",,,,
DLB,D3,DLB03,11. Involvement in work,,,,
DLC,D3,DLC25,8. Involvement in the Local Community. QID:DLC25,,,,
DKN,D3,DKN03,11. Involvement in the knowledge domain. QID:DKN03,,,,
DTR,D3,DTR03,11. Involvement in trade. QID:DTR03,,,,
DEM,D3,DEM03,"11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on hierarchies associated to profession or wealth, such as a person's class or caste?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on whether a person belongs to some magico-religiously sanctioned group, such as religious denomination?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on a person's descent group, such as clan, house, lineage group, kinship group?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on a person’s group of land ownership, such as tribe, clan, territorial group?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on a person’s race, ethnicity, or some other similar grouping?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on a person’s age or life stage?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on a person’s place identity and affiliation?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on a person’s sex or gender?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on any other communities of practice?",,,,
DEM,D3,DEM31,37. Intermarriage. QID: DEM31:Is it typical for [q2o1answer] men to marry [q2o2answer] women?37. Intermarriage. QID: DEM31:Is it typical for [q2o1answer] women to marry [q2o2answer] men?,,,,
DLB,D4,DLB04,6. Is there hierarchy involved in work? QID: DLB04,yes,,,
DKN,D4,DKN04,6. The relationship between [q2o1answer] people and [q2o2answer] people in the knowledge domain can typically be characterised as: QID: DKN04,Yes,,,
DTR,D4,DTR24,"6. Typically when trading with [q2o2answer] people, the [q2o1answer] people will: QID: DTR24",,,,
DEM,D6,DEM04,7. Where does exchange between [q2o1answer] and [q2o2answer] people typically take place? QID: DEM04:,Yes,,,
DEM,D6,DEM32,38. Where do marriage ceremonies between [q2o1answer] and [q2o2answer] take place? QID:DEM32:,Yes,,,
DLB,D6,DLB05,7. Where do [q2o1answer] people and [q2o2answer] people typically work together? QID: DLB05,Yes,,,
DLC,D6,DLC28,6. Where do [q2o1answer] and [q2o2answer] people typically meet up in the local community? QID: DLC28,Yes,,,
DKN,D6,DKN05,7. Where does knowledge transmission between [q2o1answer] people and [q2o2answer] people typically take place? QID: DKN05,Yes,,,
DTR,D6,DTR06,7. Where does trade between [q2o1answer] and [q2o2answer] people typically take place? QID:DTR06,Yes,,,
DFK,D6,DFK35,5. What is the typical pattern of relocation for [q2o1answer] women when starting a new family? QID: DFK35:,,,,
DFK,D6,DFK39,6. What is the typical pattern of relocation for [q2o2answer] women when starting a new family? QID: DFK39:,,,,
DEM,D9,DEM38,9. Are there any speech styles used during practices of exchange? QID: DEM38,,,,
DFK,D9,DFK38,26. Are any of the following features characteristic when speaking to one’s [q2o2answer] in-laws? QID: DFK38:Lexical avoidance26. Are any of the following features characteristic when speaking to one’s [q2o2answer] in-laws? QID: DFK38:The use of certain morphosyntactic forms26. Are any of the following features characteristic when speaking to one’s [q2o2answer] in-laws? QID: DFK38:The use of certain pronominal forms,,,,
DLB,D9,DLB06,9. Are there any speech styles used during work? QID: DLB06,,,,
DKN,D9,DKN06,9. Are there any speech styles used in the knowledge domain? QID: DKN06,,,,
DTR,D9,DTR28,9. Are there any speech styles used in trade? QID: DTR28,,,,
DEM,E1,DEM96,"46. List any other groups that the [q2o1answer] practiced Social Exchange with in the past, in so far as you believe this had linguistic consequences for the [q2o1answer] language. Where possible, please also give an indication of when this contact through Social Exchange practices happened.",,,,
DFK,E1,DFK96,38. Who do [q2o1answer] people typically form families with besides [q2o2answer] people? QID: DFK96,,,,
DLB,E1,DLB96,"33. List any other groups that the [q2o1answer] people worked with in the past. List any other group in so far as you believe they had linguistic consequences for the [q2o1answer] language. Where possible, please also give an indication of when this interaction happened. QID: DLB96",,,,
DLC,E1,DLC96,"30. List any other groups that the [q2o1answer] formed local communities with in the past, in so far as you believe this had linguistic consequences for the [q2o1answer] language. Where possible, please also give an indication of when this happened. QID: DLC96",,,,
DKN,E1,DKN96,"33. List any other groups that the [q2o1answer] people intereacted with in the past, in the knowledge domain. List any other group in so far as you believe they had linguistic consequences for the [q2o1answer] language. Where possible, please also give an indication of when this interaction happened. QID: DKN96",,,,
DTR,E1,DTR96,"33. List any other groups that the [q2o1answer] traded with in the past, in so far as you believe this had linguistic consequences for the [q2o1answer] language. Where possible, please also give an indication of when this happened. QID: DTR96",,,,
DEM,E4,DEM97,47. What type of data informed your answers to the questions in the domain of social exchange overall? QID: DEM97::Impressions from my own fieldwork with the exact or related community,,,,
DFK,E4,DFK97,"39. What type of data informed your answers to the questions in the domain of family and kin, overall?",,,,
DLB,E4,DLB97,"34. What type of data informed your answers to the questions in the domain of labour, overall? QID: DLB97",,,,
DLC,E4,DLC97,"31. What type of data informed your answers to the questions in the domain of local community, overall? QID: DLC97",,,,
DKN,E4,DKN97,"34. What type of data informed your answers to the questions in the domain of knowledge, overall? QID: DKN97",,,,
DTR,E4,DTR97,"34. What type of data informed your answers to the questions in the domain of trade, overall? QID: DTR97",,,,
DEM,E5,DEM98,48. How certain are you in your responses for the domain of social exchange? QID: DEM98:,,,,
DFK,E5,DFK98,40. How certain are you in your responses for the domain of family and kin? QID: DFK98:,,,,
DLB,E5,DLB98,35. How certain are you in your responses for the domain of labour? QID: DLB98,,,,
DLC,E5,DLC98,32. How certain are you in your responses for the domain of local community? QID: DLC98,,,,
DKN,E5,DKN98,35. How certain are you in your responses for the domain of knowledge? QID: DKN98,,,,
DTR,E5,DTR98,35. How certain are you in your responses for the domain of local community? QID: DLC98,,,,
DEM,E6,DEM99,49. List any comments or notes that you feel are relevant to this section of the questionnaire. QID: DEM99,,,,
DFK,E6,DFK99,41. List any comments or notes that you feel are relevant to this section of the questionnaire. QID: DFK99,,,,
DLB,E6,DLB99,36. List any comments or notes that you feel are relevant to this section of the questionnaire. QID: DLB99,,,,
DLC,E6,DLC99,33. List any comments or notes that you feel are relevant to this section of the questionnaire. QID: DLC99,,,,
DKN,E6,DKN99,36. List any comments or notes that you feel are relevant to this section of the questionnaire. QID: DKN99,,,,
DTR,E6,DTR99,36. List any comments or notes that you feel are relevant to this section of the questionnaire. QID: DTR99,,,,
DEM,I1,DEM12,24. What language do [q2o2answer] people typically speak to [q2o1answer] people during practices of exchange? QID: DEM12:,,yes,,
DEM,I1,DEM13,"25. Typically in contexts of exchange practices, how well do [q2o1answer] people understand the [q2o2answer] language? QID: DEM13:",,yes,,
DFK,I1,DFK09,15. What language do [q2o2answer] people typically speak with their [q2o1answer] spouse? QID: DFK09:,,yes,,
DFK,I1,DFK28,"35. Your child has married a [q2o2answer] person. What language does your child’s spouse typically speak to you, a [q2o1answer] person? QID: DFK28:",,yes,,
DFK,I1,DFK34,37. You have married a [q2o2answer] person. What language do you typically speak to your [q2o2answer] in-laws (your spouse’s parents and siblings)? QID: DFK34:,,yes,,
DLB,I1,DLB15,25. What language do [q2o2answer] people typically speak when working with [q2o1answer] people? QID: DLB15,,yes,,
DLC,I1,DLC09,22. What language do [q2o2answer] people typically speak with [q2o1answer] people in the local community? QID: DLC09,,yes,,
DKN,I1,DKN20,25. What language do [q2o2answer] people typically speak with [q2o1answer] people in the knowledge domain? QID: DKN20,,yes,,
DTR,I1,DTR09,25. What language do [q2o2answer] people typically speak when trading with the [q2o1answer]? QID: DTR09,,yes,,
DFK,I2,DFK10,"16. Typically in the domain of family, how well do [q2o1answer] people understand the [q2o2answer] language? QID: DFK10:",,yes,,
DFK,I2,DFK29,"36. Typically, how well does a [q2o1answer] person understand the [q2o2answer] in-law’s language? QID: DFK29:",,yes,,
DFK,I2,DFKXX,"37b. Typically, how well does a [q2o1answer] person understand the [q2o2answer] in-law’s language? QID: DFKXX:",,yes,,
DLB,I2,DLB16,"26. Typically in work, how well do [q2o1answer] people understand the [q2o2answer] language? QID: DLB16",,yes,,
DLC,I2,DLC10,"23. Typically in the local community, how well do [q2o1answer] people understand the [q2o2answer] language? QID: DLC10",,yes,,
DKN,I2,DKN21,"26. Typically in the knowledge domain, how well do [q2o1answer] people understand the [q2o2answer] language? QID: DKN21",,yes,,
DTR,I2,DTR10,"26. Typically in trade, how well do [q2o1answer] people understand the [q2o2answer] language? QID: DTR10",,yes,,
DEM,O1,DEM14,21. What language do [q2o1answer] people typically speak during practices of exchange with [q2o2answer] people? QID: DEM14:,,yes,yes,
DLB,O1,DLB32,22. What language do [q2o1answer] people typically speak when working with [q2o2answer] people? QID: DLB25,,yes,yes,
DLC,O1,DLC11,19. What language do [q2o1answer] people typically speak with [q2o2answer] people in the local community? QID: DLC11,,yes,yes,
DKN,O1,DKN17,22. What language do [q2o1answer] people typically speak with [q2o2answer] people when in the knowledge domain? QID: DKN17,,yes,yes,
DTR,O1,DTR11,22. What language do [q2o1answer] people typically speak when trading with [q2o2answer] people? QID: DTR11,,yes,yes,
DFK,O1,DFK06,12. What language do [q2o1answer] people typically speak with their [q2o2answer] spouse? QID: DFK06:,,yes,,
DFK,O1,DFK30,32. Your child has married a [q2o2answer] person. What language do you typically speak when speaking with your [q2o2answer] son/daughter-in-law? QID: DFK30:,,yes,,
OV,O10,O10,[q2o1answer] peoples’ language loyalty towards [q2o1answer] can be characterised as::,,,yes,
DEM,O2,DEM15,22. Do [q2o1answer] people typically simplify their [q2o1answer] language when speaking with [q2o2answer] people during practices of Exchange? QID: DEM15:,,yes,,
DFK,O2,DFK07,13. Do [q2o1answer] people typically simplify their [q2o1answer] language when speaking with their [q2o2answer] spouse? QID: DFK07:,,yes,,
DFK,O2,DFK31,"33. Typically, does a [q2o1answer] person simplify their [q2o1answer] language when speaking to their [q2o2answer] in-laws? QID: DFK31:",,yes,,
DLB,O2,DLB13,23. Do [q2o1answer] people typically simplify their language when working with [q2o2answer] people? QID: DLB13,,yes,,
