Table 1,,,,,,,,,,,,,
Dom,QID,CID,Wording,DataType,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer_Default
DEM,DEM0aE,P2End,[Not asked in original],Value,,,,,,,,,
DEM,DEM0bE,P3End,[Not asked in original],Value,,,,,,,,,
DEM,DEM00,P1,1. Has exchange ever been a relevant domain of contact between [q2o1answer] and [q2o2answer]? QID: DEM00,Binary-YesNo,Yes,No,,,,,,,
DEM,DEM45,D12,"10. How often are these speech styles typically used during practices of exchange, in comparison with unmonitored speech? QID: DEM38:",Scalar,Always,Often,As much as unmonitored speech,Rarely,Never,,,,Answer5
DEM,DEM03,D3,"11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on hierarchies associated to profession or wealth, such as a person's class or caste?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on whether a person belongs to some magico-religiously sanctioned group, such as religious denomination?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on a person's descent group, such as clan, house, lineage group, kinship group?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on a person’s group of land ownership, such as tribe, clan, territorial group?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on a person’s race, ethnicity, or some other similar grouping?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on a person’s age or life stage?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on a person’s place identity and affiliation?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on a person’s sex or gender?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on any other communities of practice?",Variable-Binaryx9,Yes,No,,,,,,,NoNoNoNoNoNoNoNoNoNo
DEM,DEM41,D10,12. Do [q2o1answer] people experience exchange differently depending on social group? QID: DEM41,Binary-YesNo,Yes,No,,,,,,,No
DEM,DEM08,S1,13. How often do [q2o1answer] people exchange with [q2o2answer] people? QID: DEM08:,Scalar,Very often,Often,Sometimes,Rarely,Very rarely,,,,Answer_9
DEM,DEM11,S3,14. How many people are typically involved in interactions between [q2o1answer] and [q2o2answer] in the context of exchange? QID: DEM11:,Scalar,Interactions are practically always under 5 people.,Interactions are often under 5 people,Interactions are sometimes under 5 people,Interactions are rarely under 5 people,Interactions are practically never under 5 people,,,,Answer1
DEM,DEM10,S5,15. How would you rate the overall relationship between [q2o1answer] and [q2o2answer] people in the domain of exchange? QID: DEM10:,Scalar,Friendly,Somewhat friendly,Neutral,Somewhat hostile,Hostile,,,,Answer3
DEM,DEM40,S6,16. What is the proportion of total [q2o1answer] people who have opportunities for contact with [q2o2answer] people in the context of exchange? QID: DEM40:,Scalar,Almost everyone,Many people,Some people,Few people,Almost no one,,,,Answer5
DEM,DEM44,S7,17. What is the proportion of total [q2o2answer] people who have opportunities for contact with [q2o1answer] people in the context of exchange? QID: DEM44:,Scalar,Almost everyone,Many people,Some people,Few people,Almost no one,,,,Answer5
DEM,DEM17,BA,18. What is the overall attitude that [q2o1answer] people have towards [q2o2answer] people in the context of exchange? QID: DEM17:,Scalar,Very positive,Positive,Neutral,Negative,Very negative,,,,Answer3
DEM,DEM18,BH,19. How do [q2o1answer] people view themselves overall in relation to [q2o2answer] people in the context of exchange? QID: DEM18:,Scalar,[q2o1answer] see themselves as very superior to [q2o2answer].,[q2o1answer] see themselves as superior to [q2o2answer].,[q2o1answer] see themselves as neither superior nor inferior to [q2o2answer].,[q2o1answer] see themselves as inferior to [q2o2answer].,[q2o1answer] see themselves as very inferior to [q2o2answer].,,,,Answer3
DEM,DEM05,BI,20. What language do [q2o1answer] people expect to be used when interacting with [q2o2answer] people through practices of exchange? QID:DEM05:,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DEM,DEM14,O1,21. What language do [q2o1answer] people typically speak during practices of exchange with [q2o2answer] people? QID: DEM14:,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DEM,DEM15,O2,22. Do [q2o1answer] people typically simplify their [q2o1answer] language when speaking with [q2o2answer] people during practices of Exchange? QID: DEM15:,Types,Yes,No,This is highly contextual,,,,,,Answer_0
DEM,DEM16,O3,"23. Typically in the context of exchange practices, how fluently to [q2o1answer] people speak the [q2o2answer] language? QID: DEM16",Scalar,Very fluently,Fluently,Somewhat fluently,A little fluently,Not fluently at all,,,,Answer_9
DEM,DEM12,I1,24. What language do [q2o2answer] people typically speak to [q2o1answer] people during practices of exchange? QID: DEM12:,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DEM,DEM13,I2,"25. Typically in contexts of exchange practices, how well do [q2o1answer] people understand the [q2o2answer] language? QID: DEM13:",Scalar,Very well,Well,Somewhat,Poorly,Very poorly,,,,Answer_0
DEM,DEM06,T1,26. How much do [q2o1answer] children participate in practices of exchange? QID: DEM06:,Scalar,They practically always participate,They participate a lot,They participate somewhat,They participate a little,They practically never participate,,,,Answer5
DEM,DEM39,T6,"27. Child socialisation. QID: DEM39:1. Typically during practices of exchange, do adults other than the parents look after children up to five year of age?27. Child socialisation. QID: DEM39:2. Typically during practices of exchange, do parents look after children up to five year of age?27. Child socialisation. QID: DEM39:3. Typically during practices of exchange, do children from sibling-kin groups look after children up to five year of age?27. Child socialisation. QID: DEM39:4. Typically during practices of exchange, do children up to five year of age look after each other as part of the same peer group?",Variable-Binaryx4,Yes,No,,,,,,,NoNoNoNo
DEM,DEM20,T11,"28. Typically, how much supervision do adults provide to children during practices of exchange? QID: DEM20:",Scalar,Constant supervision,A lot of supervision,Some supervision,Little supervision,No supervision at all,,,,Answer5
DEM,DEM21,T2,29. What language do [q2o2answer] adults typically speak to [q2o1answer] children during practices of exchange? QID: DEM21:,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DEM,DEM0aB,P2Begin,3. How long have [q2o1answer] and [q2o2answer] people practised exchange for?,Value,,,,,,,,,
DEM,DEM22,T4,"30. Typically, what language do [q2o1answer] children prefer to speak with [q2o2answer] adults in the context of exchange? QID: DEM22:",Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DEM,DEM25,T5,"31. Typically, what language do [q2o1answer] children speak to [q2o2answer] children during practices of exchange? QID: DEM25:",Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DEM,DEM26,D1,"32. Marrying out: When marrying each other, should [q2o1answer] people and [q2o2answer] people marry somebody: QID:DEM26:Outside their village or other kind of local community?32. Marrying out: When marrying each other, should [q2o1answer] people and [q2o2answer] people marry somebody: QID:DEM26:Outside their descent group or clan?32. Marrying out: When marrying each other, should [q2o1answer] people and [q2o2answer] people marry somebody: QID:DEM26:Outside their designated marriage group such as a moiety?32. Marrying out: When marrying each other, should [q2o1answer] people and [q2o2answer] people marry somebody: QID:DEM26:Outside their hierarchical social group such as class or caste?32. Marrying out: When marrying each other, should [q2o1answer] people and [q2o2answer] people marry somebody: QID:DEM26:Outside their linguistic group?",Variable-Binaryx5,Yes,No,,,,,,,NoNoNoNoNo
DEM,DEM27,D1,"33. Marrying within: When marrying each other, should [q2o1answer] people and [q2o2answer] people marry somebody from: QID: DEM27:The same village or other kind of local community?33. Marrying within: When marrying each other, should [q2o1answer] people and [q2o2answer] people marry somebody from: QID: DEM27:The same descent group or clan?33. Marrying within: When marrying each other, should [q2o1answer] people and [q2o2answer] people marry somebody from: QID: DEM27:The same designated marriage group such as a moiety?33. Marrying within: When marrying each other, should [q2o1answer] people and [q2o2answer] people marry somebody from: QID: DEM27:The same hierarchical social group such as class or caste?33. Marrying within: When marrying each other, should [q2o1answer] people and [q2o2answer] people marry somebody from: QID: DEM27:The same linguistic group?",Variable-Binaryx5,Yes,No,,,,,,,NoNoNoNoNo
DEM,DEM28,D1,34. Polygyny. QID: DEM28:Is polygyny possible for [q2o1answer] men?,Variable-Binaryx3,Yes,No,,,,,,,No
DEM,DEM29,D1,35. Polyandry. QID: DEM29:Is polyandry possible for [q2o1answer] women?,Variable-Binaryx3,Yes,No,,,,,,,[Remove question]
DEM,DEM37,D1,36. What type of marriage payments and transfers are expected when [q2o1answer] and [q2o2answer] marry? QID:DEM37::Bride wealth,Variable-Typesx3,Bride wealth,Dowry,Other,,,,,,Answer_0
DEM,DEM31,D3,37. Intermarriage. QID: DEM31:Is it typical for [q2o1answer] men to marry [q2o2answer] women?37. Intermarriage. QID: DEM31:Is it typical for [q2o1answer] women to marry [q2o2answer] men?,Variable-Binaryx2,Yes,No,,,,,,,NoNo
DEM,DEM32,D6,38. Where do marriage ceremonies between [q2o1answer] and [q2o2answer] take place? QID:DEM32:,Types,At places which belong to the [q2o1answer],At places which belong to the [q2o2answer],At places which belong to some other group,This is highly contextual,,,,,Answer_0
DEM,DEM34,S5,39. How would you rate the overall relationship between [q2o1answer] and [q2o2answer] people in practices of marriage exchanges? QID: DEM34:,Scalar,Friendly,Somewhat friendly,Neutral,Somewhat hostile,Hostile,,,,Answer3
DEM,DEM0bB,P3Begin,4. What is the time frame when the largest number of people had the most opportunities for interaction in exchange? QID: DEM0b,Value,,,,,,,,,
DEM,DEM42,S6,40. What is the proportion of total [q2o1answer] people who have opportunities for contact with [q2o2answer] people in the context of marriage exchanges? QID: DEM42:,Scalar,Almost everyone,Many people,Some people,A few people,Almost no one,,,,Answer5
DEM,DEM43,S7,41. What is the proportion of total [q2o2answer] people who have opportunities for contact with [q2o1answer] people in the context of marriage exchanges? QID: DEM43:,Scalar,Almost everyone,Many people,Some people,A few people,Almost no one,,,,Answer5
DEM,DEM35,BA,42. What is the overall attitude that [q2o1answer] people have towards [q2o2answer] people in practices of marriage exchanges? QID: DEM35:,Scalar,Very positive,Positive,Neutral,Negative,Very negative,,,,Answer3
DEM,DEM36,BH,"43. How do [q2o1answer] people view themselves overall in relation to [q2o2answer] people, within the context of marriage QID: DEM36:",Scalar,[q2o1answer] see themselves as neither superior nor inferior to [q2o2answer].,[q2o1answer] see themselves as neither superior nor inferior to [q2o2answer].,[q2o1answer] see themselves as neither superior nor inferior to [q2o2answer].,[q2o1answer] see themselves as neither superior nor inferior to [q2o2answer].,[q2o1answer] see themselves as neither superior nor inferior to [q2o2answer].,,,,Answer3
DEM,DEM33,BI,44. What language do [q2o1answer] people expect to be used in marriage ceremonies with [q2o2answer] people? QID: DEM33:,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DEM,DEM30,T6,"45. Does marriage impose any child rearing obligations for: QID: DEM30:Both parents and grandparents on both sides?45. Does marriage impose any child rearing obligations for: QID: DEM30:One parent, and grandparents on both sides?45. Does marriage impose any child rearing obligations for: QID: DEM30:One parent, and grandparents on that side?45. Does marriage impose any child rearing obligations for: QID: DEM30:One parent, and grandparents from the other side?",Variable-Binaryx4,Yes,No,,,,,,,NoNoNoNo
DEM,DEM96,E1,"46. List any other groups that the [q2o1answer] practiced Social Exchange with in the past, in so far as you believe this had linguistic consequences for the [q2o1answer] language. Where possible, please also give an indication of when this contact through Social Exchange practices happened.",Comment,,,,,,,,,
DEM,DEM97,E4,47. What type of data informed your answers to the questions in the domain of social exchange overall? QID: DEM97::Impressions from my own fieldwork with the exact or related community,Type,Impressions from my own fieldwork with a related community,Reports from language consultants,Published or ongoing research project of my own on topics covered in this questionnaire,Published material by linguists,Published materials by researchers in other fields,Other,,,
DEM,DEM98,E5,48. How certain are you in your responses for the domain of social exchange? QID: DEM98:,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,,,,
DEM,DEM99,E6,49. List any comments or notes that you feel are relevant to this section of the questionnaire. QID: DEM99,Comment,,,,,,,,,
DEM,DEM01,P4,"5. What other languages, if any, are spoken in this domain? QID: DEM01",Comment,,,,,,,,,
DEM,DEM02,D1,6. Characteristic of the domain of Exchange QID: DEM02:Is Exchange between [q2o1answer] and [q2o2answer] the individual’s initiative?6. Characteristic of the domain of Exchange QID: DEM02:Is Exchange between [q2o1answer] and [q2o2answer] an institutionalised procedure?6. Characteristic of the domain of Exchange QID: DEM02:Is Exchange between [q2o1answer] and [q2o2answer] part of a ceremonial event to which both communities participate?,Variable-Binaryx3,Yes,No,,,,,,,NoNoNo
DEM,DEM04,D6,7. Where does exchange between [q2o1answer] and [q2o2answer] people typically take place? QID: DEM04:,Types,At places which belong to the [q2o1answer],At places which belong to the [q2o2answer],At places which belong to some other group,This is highly contextual,,,,,Answer_0
DEM,DEM19,D11,8. How much influence can the [q2o1answer] exert over exchange? QID: DEM19:,Scalar,Influence is practically always exerted,Influence is often exerted,Influence is somewhat exerted,Influence is exerted very little,Influence is practically never exerted,,,,Answer5
DEM,DEM38,D9,9. Are there any speech styles used during practices of exchange? QID: DEM38,Binary-YesNo,Yes,No,,,,,,,No
DFK,DFK0aE,P2End,[Not asked in original],Value,,,,,,,,,
DFK,DFK0bE,P3End,[Not asked in original],Value,,,,,,,,,
DFK,DFK37,S4,10. How physically proximate to each other are the households of the husband and wife? QID: DFK37:,Scalar,Very proximate to each other,Proximate to each other,Somewhat proximate to each other,Far from each other,Very far from each other,,,,Answer_9
DFK,DFK16,BA,11. What is the overall level of affection that the [q2o1answer] person has towards their [q2o2answer] spouse? QID: DFK16:,Scalar,Very affectionate,Affectionate,Neutral,Unaffectionate,Very unaffectionate,,,,Answer3
DFK,DFK06,O1,12. What language do [q2o1answer] people typically speak with their [q2o2answer] spouse? QID: DFK06:,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DFK,DFK07,O2,13. Do [q2o1answer] people typically simplify their [q2o1answer] language when speaking with their [q2o2answer] spouse? QID: DFK07:,Types,Yes,No,This is highly contextual,,,,,,Answer_0
DFK,DFK08,O3,"14. Typically in the domain of family, how fluently to [q2o1answer] people speak the [q2o2answer] language? QID: DFK08:",Scalar,Very fluently,Fluently,Somewhat fluently,A little fluently,Not fluently at all,,,,Answer_9
DFK,DFK09,I1,15. What language do [q2o2answer] people typically speak with their [q2o1answer] spouse? QID: DFK09:,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DFK,DFK10,I2,"16. Typically in the domain of family, how well do [q2o1answer] people understand the [q2o2answer] language? QID: DFK10:",Scalar,Very well,Well,Somewhat,Poorly,Very poorly,,,,Answer_9
DFK,DFK04,T6,"17. Looking after children. QID: DFK04:Typically, do fathers look after children up to five year of age?17. Looking after children. QID: DFK04:Typically, do mothers primarily look after children up to five year of age?17. Looking after children. QID: DFK04:Do adults other than the parents look after children up to five year of age?17. Looking after children. QID: DFK04:Do children from sibling-kin groups look after children up to five year of age?17. Looking after children. QID: DFK04:Do children up to five year of age look after each other as part of the same peer group?",Variable-Binaryx5,Yes,No,,,,,,,NoNoNoNoNo
DFK,DFK24,T11,"18. Typically, how much supervision do grandparents provide to children? QID: DFK24:",Scalar,Constant supervision,A lot of supervision,Some supervision,Little supervision,No supervision at all,,,,Answer5
DFK,DFK05,BI,19. What language are children expected to speak to their [q2o2answer] parent? QID: DFK05:,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DFK,DFK00,P1,"2. Do [q2o1answer] people and [q2o2answer] people marry each other, or have they done so in the past? QID: DEM00",Binary-YesNo,Yes,No,,,,,,,
DFK,DFK0aB,P2Begin,2. How long have [q2o1answer] and [q2o2answer] peoples been forming families with each other for? QID: DFK0a,Value,,,,,,,,,
DFK,DFK20,T7,20. What language do [q2o1answer] parents typically speak with their children? QID: DFK20:,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DFK,DFK21,T8,21. What language do [q2o2answer] parents typically speak with their children? QID: DFK21:,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DFK,DFK22,T9,22. What language do children typically speak with their [q2o1answer] parent? QID: DFK22:,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DFK,DFK23,T10,23. What language do children typically speak with their [q2o2answer] parent? QID: DFK23:,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DFK,DFK25,T2,24. What language do [q2o2answer] grandparent/aunts/uncles typically speak to the children? QID: DFK25:,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DFK,DFK26,T4,"25. Typically, what language do [q2o1answer] children speak with their [q2o2answer] grandparents/aunts/uncles? QID: DFK26:",Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DFK,DFK38,D9,26. Are any of the following features characteristic when speaking to one’s [q2o2answer] in-laws? QID: DFK38:Lexical avoidance26. Are any of the following features characteristic when speaking to one’s [q2o2answer] in-laws? QID: DFK38:The use of certain morphosyntactic forms26. Are any of the following features characteristic when speaking to one’s [q2o2answer] in-laws? QID: DFK38:The use of certain pronominal forms,Variable-Binaryx3,Yes,No,,,,,,,NoNoNo
DFK,DFK12,S1,"27. Thinking about the [q2o1answer] person and their [q2o2answer] in-laws, how often would they typically meet? QID: DFK12:",Scalar,Very often,Often,Sometimes,Rarely,Very rarely,,,,Answer_9
DFK,DFK15,S3,28. How many people are typically involved in interactions between a [q2o1answer] person and their [q2o2answer] in-laws? QID: DFK15:,Scalar,Interactions are practically always under 5 people.,Interactions are often under 5 people,Interactions are sometimes under 5 people,Interactions are rarely under 5 people,Interactions are practically never under 5 people,,,,Answer1
DFK,DFK11,S4,29. How physically proximate to each other are a [q2o1answer] person and their [q2o2answer] in-laws? QID: DFK11:,Scalar,Very proximate to each other,Proximate to each other,Somewhat proximate to each other,Far from each other,Very far from each other,,,,Answer_9
DFK,DFK0bB,P3Begin,3. What’s the time frame of densest contact between [q2o1answer] and [q2o2answer] as far as family formation is concerned? QID: DFK0b,Value,,,,,,,,,
DFK,DFK14,S5,30. How would you rate the overall relationship between a [q2o1answer] person and their [q2o2answer] in-laws? QID: DFK14:,Scalar,Friendly,Somewhat friendly,Neutral,Somewhat hostile,Hostile,,,,Answer3
DFK,DFK33,BA,31. What is the overall attitude that a [q2o1answer] person has towards their [q2o2answer] in-laws? QID: DFK33:,Scalar,Very positive,Positive,Neutral,Negative,Very negative,,,,Answer3
DFK,DFK30,O1,32. Your child has married a [q2o2answer] person. What language do you typically speak when speaking with your [q2o2answer] son/daughter-in-law? QID: DFK30:,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DFK,DFK31,O2,"33. Typically, does a [q2o1answer] person simplify their [q2o1answer] language when speaking to their [q2o2answer] in-laws? QID: DFK31:",Types,Yes,No,This is highly contextual,,,,,,Answer_0
DFK,DFK32,O3,"34. Typically, how fluently does a [q2o1answer] person speak the [q2o2answer] language when speaking to their [q2o2answer] in-laws? QID: DFK32:",Scalar,Very fluently,Fluently,Somewhat fluently,A little fluently,Not fluently at all,,,,Answer_9
